vm_id,cpu_cores,ram,bandwidth_req,net_1_load,net_1_latency,net_1_bandwidth_avail,net_2_load,net_2_latency,net_2_bandwidth_avail,net_3_load,net_3_latency,net_3_bandwidth_avail,net_4_load,net_4_latency,net_4_bandwidth_avail,net_5_load,net_5_latency,net_5_bandwidth_avail,net_6_load,net_6_latency,net_6_bandwidth_avail,net_7_load,net_7_latency,net_7_bandwidth_avail,net_8_load,net_8_latency,net_8_bandwidth_avail,net_9_load,net_9_latency,net_9_bandwidth_avail,net_10_load,net_10_latency,net_10_bandwidth_avail,net_11_load,net_11_latency,net_11_bandwidth_avail,net_12_load,net_12_latency,net_12_bandwidth_avail,net_13_load,net_13_latency,net_13_bandwidth_avail,net_14_load,net_14_latency,net_14_bandwidth_avail,net_15_load,net_15_latency,net_15_bandwidth_avail,net_16_load,net_16_latency,net_16_bandwidth_avail,net_17_load,net_17_latency,net_17_bandwidth_avail,net_18_load,net_18_latency,net_18_bandwidth_avail,net_19_load,net_19_latency,net_19_bandwidth_avail,net_20_load,net_20_latency,net_20_bandwidth_avail,label_network_id,task_completion_time,throughput_achieved,task_type
533,2,512,116,0.08,6.15,1053,0.52,12.76,858,0.42,11.23,1192,0.47,12.04,911,0.09,6.33,929,0.47,17.05,1174,0.07,10.99,802,0.02,10.24,947,0.04,10.60,939,0.21,13.16,1047,0.40,15.99,944,0.18,12.64,841,0.40,16.07,1181,0.40,15.97,860,0.21,13.08,1010,0.48,27.19,1197,0.12,21.75,1002,0.16,22.47,907,0.28,24.16,870,0.60,28.97,926,8,5.00,104.41,cpu_bound
535,2,4096,236,0.33,9.89,1126,0.31,9.69,878,0.59,13.91,982,0.21,8.12,933,0.19,7.82,1013,0.05,10.68,803,0.11,11.62,992,0.04,10.66,734,0.14,12.03,1076,0.24,13.58,1163,0.32,14.78,1111,0.11,11.67,1088,0.25,13.73,1118,0.06,10.94,1137,0.23,13.43,976,0.39,25.82,1197,0.58,28.69,991,0.01,20.10,888,0.03,20.39,1137,0.54,28.17,866,8,25.00,204.48,io_bound
536,2,4096,156,0.41,11.16,1164,0.40,11.06,1033,0.40,11.04,900,0.42,11.28,952,0.38,10.71,817,0.35,15.30,930,0.07,11.09,1155,0.13,12.02,953,0.49,17.35,905,0.14,12.11,1059,0.27,14.11,974,0.07,11.07,748,0.48,17.20,904,0.44,16.62,851,0.10,11.57,939,0.44,26.58,1054,0.47,26.99,1106,0.42,26.37,874,0.04,20.64,1168,0.45,26.77,1152,12,75.00,140.06,mixed
537,2,2048,80,0.41,11.20,811,0.55,13.22,815,0.31,9.62,1009,0.49,12.34,839,0.57,13.56,1144,0.30,14.46,1154,0.07,11.01,1042,0.23,13.43,959,0.19,12.80,919,0.49,17.42,853,0.35,15.25,1043,0.20,12.99,957,0.19,12.91,1181,0.49,17.39,1049,0.43,16.52,1072,0.39,25.90,1136,0.56,28.45,1090,0.17,22.60,1199,0.21,23.15,1160,0.02,20.36,1082,20,25.00,70.74,io_bound
538,1,4096,217,0.39,10.82,1065,0.40,11.06,942,0.45,11.74,1077,0.17,7.50,1160,0.42,11.37,1153,0.29,14.35,1107,0.01,10.10,697,0.58,18.77,820,0.08,11.25,1143,0.36,15.41,1084,0.37,15.49,1015,0.21,13.22,819,0.20,12.99,1041,0.29,14.34,1130,0.45,16.76,915,0.43,26.51,1042,0.54,28.17,1095,0.60,28.99,1080,0.05,20.69,884,0.44,26.67,1185,7,50.00,213.67,io_bound
539,1,512,161,0.33,9.92,1139,0.19,7.84,1062,0.04,5.62,1046,0.29,9.40,1082,0.07,6.00,1095,0.01,10.13,872,0.24,13.64,1053,0.25,13.80,967,0.24,13.59,815,0.23,13.47,1182,0.14,12.09,917,0.07,11.11,1091,0.00,10.06,1008,0.21,13.20,1020,0.20,12.95,1177,0.43,26.51,1185,0.33,24.91,1174,0.35,25.32,1026,0.03,20.49,935,0.31,24.65,913,13,150.00,149.81,mixed
540,1,1024,135,0.11,6.72,893,0.07,6.00,913,0.25,8.70,971,0.43,11.41,978,0.09,6.41,862,0.12,11.76,1000,0.15,12.30,1048,0.52,17.85,805,0.02,10.24,918,0.59,18.87,889,0.06,10.89,1169,0.26,13.86,1099,0.58,18.77,945,0.01,10.18,915,0.59,18.81,990,0.50,27.45,1073,0.18,22.68,1123,0.05,20.72,855,0.30,24.45,1054,0.41,26.18,914,14,10.00,122.03,cpu_bound
541,2,4096,66,0.43,11.40,1001,0.16,7.46,999,0.45,11.81,1061,0.58,13.67,1137,0.49,12.32,937,0.42,16.23,1126,0.35,15.21,1056,0.51,17.58,1195,0.06,10.87,1184,0.08,11.13,1084,0.01,10.08,766,0.21,13.21,824,0.60,18.93,957,0.23,13.38,912,0.30,14.44,914,0.28,24.23,1021,0.27,23.98,848,0.51,27.66,830,0.44,26.66,1129,0.06,20.86,1128,11,25.00,60.72,io_bound
543,2,1024,51,0.20,7.93,815,0.05,5.79,816,0.52,12.73,1056,0.32,9.76,845,0.58,13.75,849,0.11,11.67,1096,0.58,18.76,1057,0.33,14.98,940,0.40,16.07,983,0.32,14.75,1049,0.56,18.38,841,0.27,14.12,872,0.37,15.56,1104,0.26,13.86,958,0.02,10.30,919,0.22,23.32,1116,0.44,26.60,1123,0.33,24.90,1152,0.05,20.69,1002,0.26,23.85,983,15,25.00,48.33,io_bound
544,2,4096,260,0.20,7.99,1169,0.03,5.46,915,0.59,13.78,968,0.45,11.76,1034,0.56,13.45,918,0.29,14.39,862,0.39,15.90,1063,0.04,10.63,1180,0.32,14.85,956,0.51,17.66,1164,0.01,10.09,886,0.56,18.33,808,0.45,16.82,914,0.32,14.85,848,0.45,16.80,1084,0.55,28.24,1155,0.42,26.35,1023,0.13,21.88,1165,0.58,28.76,804,0.22,23.24,1188,11,25.00,244.28,io_bound
546,2,512,273,0.16,7.40,887,0.08,6.24,943,0.51,12.68,893,0.07,6.06,838,0.49,12.40,1057,0.56,18.33,963,0.03,10.51,937,0.52,17.87,902,0.10,11.51,1136,0.24,13.59,962,0.57,18.48,1012,0.46,16.84,1105,0.02,10.26,714,0.32,14.77,965,0.45,16.72,1005,0.16,22.44,1146,0.08,21.21,1128,0.49,27.40,961,0.19,22.78,845,0.25,23.69,1014,13,25.00,242.15,io_bound
547,1,1024,253,0.27,9.08,1195,0.31,9.58,1068,0.58,13.75,936,0.52,12.79,995,0.06,5.90,921,0.21,13.16,1011,0.56,18.37,1131,0.34,15.07,1161,0.05,10.73,1172,0.38,15.73,1199,0.52,17.80,873,0.28,14.20,1061,0.25,13.68,911,0.56,18.36,1072,0.11,11.60,1122,0.41,26.13,808,0.23,23.46,1031,0.41,26.19,863,0.56,28.43,885,0.17,22.52,1184,5,50.00,236.44,io_bound
548,1,1024,59,0.05,5.70,1028,0.22,8.37,1141,0.38,10.75,1191,0.15,7.26,962,0.50,12.53,1082,0.57,18.48,968,0.35,15.32,921,0.59,18.88,1095,0.13,11.90,982,0.22,13.25,1025,0.02,10.30,877,0.20,13.01,888,0.12,11.79,824,0.37,15.52,986,0.16,12.41,803,0.22,23.32,1074,0.09,21.36,880,0.43,26.40,1011,0.38,25.67,866,0.54,28.12,1117,11,50.00,52.58,io_bound
550,2,2048,130,0.35,10.27,925,0.19,7.83,1102,0.10,6.51,1169,0.53,12.96,1038,0.52,12.84,940,0.06,10.87,894,0.22,13.25,906,0.30,14.44,893,0.40,16.04,1167,0.06,10.86,967,0.13,11.96,1153,0.11,11.72,1179,0.08,11.22,812,0.31,14.59,1109,0.51,17.63,1073,0.36,25.40,1012,0.55,28.28,981,0.00,20.06,867,0.02,20.33,1190,0.26,23.91,828,18,75.00,124.63,mixed
551,2,4096,283,0.48,12.14,1009,0.12,6.84,1016,0.38,10.72,1053,0.11,6.64,996,0.01,5.08,821,0.20,13.07,914,0.25,13.76,801,0.33,14.91,1167,0.04,10.59,1076,0.18,12.75,982,0.44,16.62,966,0.45,16.82,1197,0.53,17.96,979,0.09,11.28,1035,0.34,15.06,837,0.52,27.82,1120,0.46,26.96,1140,0.32,24.81,1047,0.42,26.34,1027,0.06,20.91,801,5,25.00,266.34,io_bound
553,1,4096,115,0.07,6.12,949,0.32,9.86,872,0.58,13.70,1022,0.41,11.13,870,0.54,13.06,1006,0.29,14.28,1114,0.56,18.42,1178,0.02,10.26,821,0.14,12.12,1016,0.10,11.54,904,0.58,18.73,1172,0.37,15.57,938,0.45,16.71,1198,0.25,13.74,1124,0.12,11.87,984,0.28,24.17,818,0.08,21.19,921,0.46,26.92,1182,0.23,23.42,1110,0.28,24.13,995,8,10.00,112.79,cpu_bound
554,2,4096,111,0.19,7.85,963,0.32,9.74,883,0.47,12.04,1106,0.23,8.38,832,0.41,11.14,1078,0.04,10.60,723,0.08,11.26,860,0.33,14.93,1144,0.46,16.97,808,0.32,14.82,1131,0.09,11.40,989,0.31,14.64,955,0.58,18.69,1147,0.45,16.79,1169,0.35,15.18,863,0.11,21.71,862,0.00,20.04,884,0.09,21.34,896,0.46,26.93,920,0.19,22.87,872,6,75.00,104.20,mixed
556,1,4096,58,0.11,6.60,1020,0.30,9.56,998,0.51,12.62,908,0.35,10.20,1077,0.13,6.89,1071,0.05,10.73,974,0.21,13.17,1177,0.26,13.89,1033,0.01,10.17,1015,0.16,12.37,1148,0.46,16.86,899,0.60,18.94,927,0.09,11.34,807,0.30,14.45,1079,0.26,13.88,877,0.20,22.95,836,0.11,21.58,1063,0.20,22.98,1086,0.22,23.25,1168,0.32,24.77,1053,9,50.00,53.43,io_bound
557,1,512,232,0.38,10.68,1038,0.54,13.13,1114,0.27,9.11,803,0.59,13.81,1095,0.45,11.72,906,0.57,18.52,911,0.32,14.75,990,0.29,14.29,987,0.35,15.19,1020,0.16,12.38,936,0.19,12.90,874,0.38,15.66,988,0.37,15.48,1097,0.22,13.32,1168,0.14,12.11,1159,0.31,24.64,945,0.46,26.95,1192,0.01,20.09,796,0.22,23.23,1188,0.36,25.35,829,18,150.00,208.06,mixed
558,2,2048,98,0.32,9.77,1146,0.10,6.56,1082,0.51,12.70,1029,0.51,12.66,929,0.59,13.83,843,0.11,11.59,1043,0.23,13.47,977,0.43,16.40,1173,0.09,11.31,993,0.18,12.74,859,0.57,18.59,968,0.51,17.63,856,0.09,11.31,1131,0.24,13.66,833,0.51,17.64,916,0.56,28.34,831,0.26,23.89,1193,0.46,26.89,853,0.27,24.03,1112,0.17,22.54,960,2,25.00,84.54,io_bound
559,1,2048,99,0.33,9.88,865,0.35,10.25,948,0.30,9.48,1168,0.03,5.41,1003,0.15,7.25,1056,0.04,10.65,1157,0.43,16.50,923,0.29,14.32,1159,0.25,13.70,1098,0.46,16.89,846,0.11,11.70,1048,0.20,13.07,946,0.07,11.09,1016,0.53,17.99,1059,0.40,16.00,1181,0.39,25.85,1080,0.37,25.57,1124,0.54,28.11,1124,0.16,22.46,931,0.38,25.76,1032,4,50.00,91.38,io_bound
560,1,512,79,0.39,10.78,923,0.45,11.70,1059,0.22,8.25,899,0.20,7.97,1190,0.31,9.63,1045,0.44,16.56,863,0.01,10.17,775,0.21,13.20,810,0.13,12.00,857,0.36,15.39,862,0.20,13.04,1105,0.07,11.10,1086,0.02,10.23,1142,0.41,16.15,1010,0.46,16.88,1180,0.47,26.98,1176,0.22,23.29,1040,0.46,26.89,936,0.02,20.26,1016,0.58,28.63,1183,7,50.00,75.75,io_bound
561,2,4096,120,0.40,11.00,964,0.55,13.27,853,0.54,13.04,809,0.35,10.24,1067,0.52,12.84,915,0.11,11.67,1031,0.44,16.54,888,0.15,12.28,1193,0.06,10.93,820,0.05,10.78,988,0.44,16.65,911,0.57,18.58,953,0.28,14.17,834,0.24,13.64,1120,0.05,10.74,936,0.39,25.85,932,0.17,22.56,1090,0.35,25.32,915,0.46,26.85,1170,0.33,25.01,962,15,25.00,113.35,io_bound
562,1,4096,223,0.35,10.29,997,0.53,12.89,921,0.17,7.51,1129,0.45,11.76,840,0.04,5.67,1119,0.12,11.82,1195,0.54,18.10,843,0.30,14.49,1056,0.30,14.47,873,0.56,18.43,852,0.48,17.14,963,0.47,17.09,899,0.44,16.62,937,0.43,16.49,1046,0.02,10.31,845,0.16,22.37,843,0.57,28.56,1132,0.07,21.09,828,0.30,24.48,1022,0.33,24.90,1145,15,10.00,207.89,cpu_bound
564,1,2048,262,0.02,5.36,736,0.55,13.23,1158,0.37,10.49,1075,0.32,9.74,975,0.51,12.70,938,0.50,17.43,1017,0.15,12.20,1124,0.19,12.90,939,0.47,17.08,1125,0.34,15.11,1125,0.39,15.85,1116,0.33,14.88,1010,0.23,13.48,1082,0.42,16.30,1178,0.36,15.44,1124,0.03,20.39,874,0.46,26.92,831,0.28,24.17,855,0.07,21.08,893,0.08,21.14,1104,1,150.00,233.14,mixed
565,2,4096,273,0.60,13.99,919,0.46,11.86,971,0.05,5.82,911,0.39,10.80,843,0.36,10.40,931,0.17,12.57,1174,0.38,15.71,972,0.25,13.73,853,0.29,14.32,1067,0.25,13.69,834,0.11,11.65,1030,0.60,18.95,1176,0.35,15.28,905,0.23,13.38,830,0.26,13.86,987,0.26,23.86,1005,0.02,20.27,988,0.00,20.03,1133,0.43,26.46,1025,0.57,28.55,977,3,5.00,256.24,cpu_bound
567,1,2048,289,0.59,13.79,1187,0.44,11.60,989,0.27,9.02,1143,0.39,10.89,1177,0.36,10.47,1130,0.36,15.34,1049,0.43,16.52,1043,0.30,14.50,1132,0.12,11.84,1141,0.45,16.69,918,0.58,18.64,1119,0.01,10.19,838,0.59,18.88,1022,0.21,13.16,933,0.28,14.18,901,0.16,22.44,904,0.02,20.27,1049,0.32,24.84,878,0.10,21.55,870,0.21,23.13,819,12,150.00,283.83,mixed
568,2,512,169,0.47,12.01,1171,0.24,8.64,1130,0.17,7.49,879,0.40,10.98,961,0.03,5.38,1017,0.47,16.99,1170,0.03,10.43,828,0.38,15.64,934,0.11,11.63,1187,0.17,12.58,860,0.59,18.90,1129,0.08,11.14,1015,0.35,15.30,1050,0.40,16.05,1109,0.44,16.64,1113,0.14,22.07,1129,0.51,27.63,1055,0.21,23.08,1123,0.59,28.79,938,0.51,27.68,832,5,5.00,156.34,cpu_bound
569,1,512,207,0.30,9.50,943,0.21,8.11,1112,0.47,12.03,1152,0.25,8.82,829,0.48,12.15,1094,0.02,10.24,1079,0.01,10.14,873,0.08,11.16,964,0.20,12.98,1132,0.33,14.96,922,0.29,14.35,963,0.42,16.35,995,0.42,16.31,981,0.01,10.19,1010,0.21,13.08,1128,0.37,25.62,898,0.17,22.48,896,0.46,26.92,978,0.25,23.78,904,0.41,26.15,1015,7,50.00,189.52,io_bound
570,1,512,280,0.37,10.48,1063,0.49,12.39,1108,0.56,13.47,974,0.56,13.35,971,0.55,13.26,878,0.39,15.89,884,0.16,12.45,850,0.59,18.81,1158,0.31,14.72,1126,0.22,13.34,1084,0.07,10.98,625,0.24,13.67,859,0.56,18.34,937,0.55,18.22,1171,0.41,16.11,1097,0.52,27.77,940,0.21,23.09,1179,0.36,25.41,822,0.51,27.64,921,0.15,22.28,1010,11,150.00,257.47,mixed
571,1,512,125,0.07,6.06,820,0.30,9.51,1052,0.03,5.44,813,0.31,9.60,856,0.05,5.73,1028,0.12,11.85,1035,0.35,15.18,946,0.17,12.48,1151,0.03,10.47,851,0.50,17.49,1199,0.16,12.37,874,0.01,10.21,1040,0.06,10.83,837,0.40,16.02,1065,0.52,17.82,1198,0.44,26.58,1019,0.43,26.38,827,0.39,25.78,1028,0.42,26.28,902,0.15,22.18,920,3,10.00,118.30,cpu_bound
572,1,1024,140,0.57,13.59,926,0.34,10.07,998,0.15,7.32,1056,0.05,5.71,1036,0.07,6.08,1034,0.50,17.54,1108,0.56,18.35,1134,0.38,15.71,933,0.39,15.79,878,0.20,13.03,999,0.22,13.27,969,0.35,15.24,894,0.53,17.88,851,0.36,15.42,833,0.31,14.70,819,0.02,20.26,990,0.44,26.62,972,0.34,25.03,915,0.04,20.54,912,0.59,28.86,837,4,150.00,122.91,mixed
573,1,1024,277,0.28,9.23,1003,0.21,8.19,800,0.48,12.18,970,0.04,5.66,1028,0.46,11.94,1183,0.21,13.16,1031,0.01,10.15,1012,0.02,10.31,998,0.11,11.64,954,0.00,10.01,859,0.26,13.89,826,0.53,18.01,977,0.49,17.40,997,0.24,13.58,967,0.04,10.64,834,0.34,25.04,1147,0.02,20.31,1175,0.50,27.56,991,0.42,26.23,1120,0.54,28.08,875,10,150.00,253.31,mixed
574,1,1024,211,0.19,7.83,1151,0.49,12.40,810,0.46,11.87,841,0.32,9.81,1095,0.27,9.12,884,0.02,10.29,1117,0.13,11.91,849,0.40,16.04,973,0.54,18.03,1125,0.37,15.49,1108,0.00,10.07,712,0.08,11.24,1004,0.10,11.44,990,0.46,16.93,986,0.47,17.06,843,0.09,21.38,1067,0.47,27.12,1019,0.32,24.77,817,0.10,21.46,921,0.13,21.92,1067,11,50.00,208.34,io_bound
575,2,4096,85,0.21,8.20,1189,0.08,6.14,950,0.49,12.30,1086,0.33,9.93,901,0.15,7.26,1153,0.30,14.49,860,0.41,16.13,849,0.26,13.83,1130,0.21,13.22,1044,0.46,16.94,979,0.58,18.72,956,0.48,17.19,1134,0.10,11.52,931,0.48,17.19,850,0.03,10.44,1088,0.51,27.58,1113,0.40,26.04,1138,0.41,26.20,1154,0.27,24.01,996,0.09,21.32,947,15,75.00,79.56,mixed
576,2,4096,206,0.16,7.45,870,0.29,9.39,873,0.55,13.24,1115,0.53,12.98,858,0.40,10.93,839,0.09,11.30,805,0.50,17.50,848,0.53,17.97,837,0.03,10.52,873,0.31,14.70,897,0.53,17.94,1003,0.38,15.73,1184,0.20,13.02,891,0.59,18.83,896,0.19,12.78,1078,0.31,24.70,872,0.17,22.59,1003,0.59,28.88,1121,0.36,25.37,1042,0.29,24.42,1055,9,75.00,186.65,mixed
577,2,4096,123,0.20,8.03,1083,0.39,10.84,1067,0.15,7.28,1051,0.39,10.83,868,0.55,13.28,961,0.42,16.25,816,0.09,11.29,873,0.36,15.39,1040,0.17,12.48,1162,0.43,16.48,1106,0.35,15.22,1182,0.35,15.18,1183,0.39,15.91,1035,0.39,15.79,930,0.04,10.65,971,0.23,23.44,1054,0.17,22.55,1021,0.51,27.70,843,0.27,24.06,1103,0.11,21.67,1182,15,5.00,109.48,cpu_bound
578,2,4096,277,0.21,8.19,1092,0.13,6.88,1110,0.41,11.21,1173,0.55,13.27,1151,0.43,11.50,1164,0.01,10.19,844,0.01,10.09,998,0.50,17.51,1170,0.28,14.17,1171,0.49,17.32,1063,0.35,15.20,800,0.32,14.81,878,0.52,17.73,946,0.14,12.14,1002,0.00,10.07,707,0.07,21.12,1060,0.51,27.64,1137,0.52,27.84,823,0.48,27.20,1184,0.49,27.34,869,15,75.00,269.42,mixed
579,1,512,142,0.20,7.99,1142,0.56,13.41,1199,0.45,11.73,1121,0.21,8.10,1112,0.19,7.81,876,0.57,18.53,986,0.22,13.23,1039,0.20,13.01,820,0.59,18.82,1101,0.45,16.68,838,0.58,18.75,1142,0.27,13.98,1125,0.18,12.64,871,0.08,11.20,892,0.00,10.03,704,0.40,26.04,1063,0.20,23.06,1068,0.20,22.95,999,0.12,21.77,998,0.20,22.94,1012,15,150.00,137.01,mixed
580,1,512,211,0.42,11.35,1078,0.22,8.34,999,0.54,13.06,1172,0.26,8.95,985,0.01,5.13,901,0.46,16.91,1124,0.47,17.04,1170,0.09,11.37,812,0.25,13.72,910,0.04,10.58,922,0.06,10.84,1081,0.04,10.63,812,0.36,15.38,950,0.47,17.11,959,0.23,13.42,1159,0.44,26.66,860,0.11,21.71,1010,0.06,20.89,879,0.16,22.38,944,0.51,27.62,1099,5,10.00,204.59,cpu_bound
581,2,2048,52,0.10,6.52,890,0.24,8.57,1037,0.45,11.78,1119,0.59,13.86,1084,0.26,8.94,1056,0.09,11.39,827,0.10,11.45,856,0.33,14.89,813,0.02,10.23,918,0.47,17.12,817,0.36,15.47,947,0.22,13.36,854,0.27,14.10,833,0.12,11.78,1019,0.42,16.23,905,0.08,21.24,1172,0.13,21.91,1017,0.31,24.61,1125,0.60,28.95,894,0.05,20.78,953,9,75.00,46.44,mixed
582,1,4096,87,0.37,10.62,865,0.15,7.21,1184,0.45,11.74,1100,0.59,13.90,1054,0.36,10.37,900,0.35,15.27,954,0.19,12.92,986,0.47,17.02,1050,0.55,18.25,1059,0.43,16.46,1195,0.49,17.35,1001,0.36,15.45,1116,0.02,10.36,978,0.29,14.29,858,0.51,17.58,1197,0.24,23.63,1145,0.20,22.99,854,0.18,22.63,956,0.53,27.94,1048,0.30,24.55,1082,13,150.00,79.13,mixed
583,2,4096,208,0.35,10.27,1051,0.28,9.24,935,0.39,10.82,961,0.41,11.22,850,0.51,12.72,883,0.34,15.17,842,0.56,18.45,862,0.43,16.44,813,0.10,11.47,663,0.48,17.19,1111,0.18,12.64,861,0.40,15.97,1093,0.19,12.87,934,0.11,11.63,956,0.34,15.16,897,0.38,25.70,1185,0.54,28.15,1014,0.46,26.94,962,0.26,23.86,1095,0.41,26.19,1099,9,5.00,177.15,cpu_bound
586,1,4096,76,0.40,11.04,904,0.07,6.05,1128,0.53,12.96,1066,0.22,8.26,886,0.52,12.82,834,0.23,13.38,1076,0.30,14.48,1005,0.35,15.29,1019,0.45,16.76,973,0.39,15.91,805,0.01,10.10,948,0.44,16.67,1151,0.17,12.60,946,0.60,18.95,1101,0.40,15.96,948,0.52,27.81,1188,0.20,23.04,1057,0.02,20.33,1075,0.54,28.16,1110,0.03,20.44,1190,11,50.00,68.10,io_bound
587,2,512,191,0.32,9.87,890,0.06,5.93,912,0.15,7.25,1157,0.07,6.01,873,0.22,8.29,826,0.12,11.82,974,0.42,16.23,885,0.12,11.81,1193,0.43,16.42,995,0.38,15.69,1147,0.16,12.36,848,0.36,15.39,950,0.44,16.64,857,0.37,15.49,1011,0.41,16.17,1059,0.07,21.05,1085,0.18,22.66,842,0.34,25.15,1139,0.44,26.56,807,0.05,20.82,885,2,5.00,162.69,cpu_bound
588,1,2048,118,0.36,10.42,870,0.20,7.94,1190,0.24,8.55,983,0.29,9.35,1179,0.27,9.09,1074,0.09,11.35,1180,0.25,13.76,1059,0.27,13.99,1115,0.42,16.36,1114,0.01,10.10,695,0.32,14.85,1127,0.12,11.76,944,0.29,14.38,974,0.56,18.47,1079,0.31,14.63,982,0.23,23.45,1098,0.26,23.84,1113,0.45,26.74,1143,0.22,23.31,952,0.23,23.52,1099,10,150.00,114.01,mixed
589,2,512,130,0.38,10.73,1030,0.58,13.74,878,0.25,8.77,946,0.29,9.38,1136,0.01,5.12,728,0.50,17.47,909,0.38,15.73,825,0.17,12.48,1112,0.27,14.03,1180,0.06,10.95,886,0.28,14.27,821,0.06,10.90,929,0.49,17.28,1055,0.14,12.09,851,0.29,14.34,1096,0.39,25.88,1197,0.26,23.91,1172,0.60,29.00,892,0.34,25.10,882,0.29,24.39,1129,5,25.00,124.88,io_bound
590,1,512,138,0.50,12.51,965,0.20,8.04,1029,0.28,9.16,1097,0.25,8.74,961,0.06,5.85,862,0.31,14.71,870,0.03,10.49,782,0.14,12.17,842,0.58,18.76,1142,0.35,15.27,801,0.07,11.02,909,0.45,16.77,1187,0.04,10.57,958,0.21,13.10,972,0.47,17.04,921,0.01,20.11,885,0.49,27.38,1056,0.51,27.68,842,0.34,25.04,863,0.07,21.05,1130,7,10.00,128.26,cpu_bound
591,1,4096,232,0.55,13.28,1051,0.04,5.65,736,0.32,9.74,974,0.25,8.72,997,0.14,7.10,1172,0.24,13.59,1173,0.54,18.10,844,0.23,13.50,890,0.13,11.95,808,0.48,17.18,975,0.21,13.19,920,0.19,12.87,1041,0.41,16.22,944,0.49,17.37,1056,0.39,15.84,911,0.32,24.74,1137,0.42,26.26,865,0.16,22.35,996,0.23,23.40,1132,0.29,24.35,901,2,10.00,204.68,cpu_bound
593,2,1024,76,0.16,7.37,1099,0.20,7.96,1025,0.31,9.65,885,0.53,12.90,1115,0.60,14.00,991,0.53,17.91,864,0.30,14.48,1045,0.06,10.83,1043,0.38,15.73,846,0.00,10.00,930,0.51,17.65,870,0.07,11.07,1193,0.40,15.95,976,0.34,15.05,935,0.08,11.18,896,0.14,22.07,910,0.11,21.70,1037,0.46,26.84,1117,0.32,24.78,1008,0.37,25.53,875,10,75.00,70.31,mixed
594,2,512,196,0.31,9.65,924,0.12,6.80,963,0.46,11.85,1038,0.39,10.84,1194,0.06,5.83,1035,0.39,15.92,1072,0.00,10.07,771,0.60,19.00,1019,0.49,17.37,808,0.35,15.21,1024,0.26,13.86,997,0.26,13.92,1114,0.13,11.94,941,0.54,18.05,1186,0.28,14.21,1017,0.18,22.73,1075,0.25,23.74,885,0.29,24.34,1082,0.38,25.63,938,0.03,20.45,893,7,75.00,187.71,mixed
595,1,2048,190,0.39,10.89,1184,0.28,9.13,824,0.60,13.98,965,0.34,10.11,867,0.34,10.06,902,0.52,17.78,1164,0.24,13.62,1029,0.03,10.50,634,0.47,17.11,1062,0.28,14.23,1095,0.09,11.42,1199,0.59,18.81,966,0.59,18.87,1046,0.11,11.72,971,0.30,14.51,852,0.36,25.35,1138,0.20,23.04,1096,0.60,29.00,985,0.39,25.86,857,0.30,24.43,1175,8,50.00,177.06,io_bound
596,2,4096,264,0.14,7.11,817,0.52,12.76,884,0.05,5.82,877,0.47,12.08,1041,0.50,12.55,941,0.27,14.07,870,0.23,13.47,1016,0.51,17.67,870,0.52,17.82,860,0.32,14.87,1115,0.11,11.71,941,0.35,15.25,939,0.43,16.44,822,0.52,17.79,876,0.29,14.41,860,0.57,28.53,972,0.37,25.53,954,0.39,25.83,1149,0.54,28.15,1010,0.31,24.62,1165,3,75.00,239.33,mixed
598,2,1024,149,0.31,9.67,1024,0.58,13.74,1096,0.33,9.92,1103,0.48,12.23,1104,0.36,10.47,1035,0.60,18.96,1087,0.18,12.68,1109,0.34,15.15,1158,0.48,17.20,1070,0.32,14.86,947,0.55,18.26,851,0.19,12.89,1177,0.16,12.40,1188,0.46,16.89,935,0.27,14.04,1100,0.50,27.54,836,0.54,28.16,1051,0.04,20.67,954,0.02,20.27,726,0.37,25.50,878,19,75.00,142.74,mixed
600,2,1024,292,0.10,6.50,1121,0.30,9.45,940,0.14,7.10,1062,0.26,8.91,942,0.26,8.95,1181,0.03,10.50,842,0.03,10.40,1038,0.05,10.73,814,0.20,13.07,1150,0.22,13.30,915,0.10,11.46,1004,0.17,12.53,961,0.30,14.46,819,0.02,10.30,704,0.18,12.65,1136,0.07,21.11,1135,0.23,23.44,1167,0.14,22.06,973,0.28,24.20,993,0.24,23.58,977,14,5.00,280.55,cpu_bound
601,2,512,137,0.17,7.53,1058,0.21,8.12,1198,0.24,8.59,1020,0.21,8.11,1017,0.12,6.83,1173,0.02,10.32,903,0.08,11.21,1128,0.16,12.46,1091,0.25,13.80,934,0.30,14.43,1080,0.14,12.17,864,0.30,14.47,1072,0.29,14.36,1050,0.20,12.96,1139,0.01,10.18,836,0.19,22.90,1067,0.19,22.86,1054,0.07,21.10,1154,0.21,23.12,904,0.09,21.39,1190,15,5.00,128.56,cpu_bound
607,2,512,199,0.25,8.82,1069,0.22,8.25,1039,0.01,5.18,680,0.17,7.56,1132,0.11,6.58,1045,0.26,13.87,878,0.03,10.51,965,0.24,13.55,993,0.15,12.30,841,0.28,14.22,1194,0.25,13.79,1036,0.09,11.41,1176,0.18,12.69,980,0.24,13.66,843,0.10,11.52,1076,0.29,24.32,912,0.08,21.24,886,0.13,21.97,839,0.16,22.35,1176,0.18,22.72,1182,3,75.00,180.42,mixed
